omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,y_eureffin,geometry,x_eureffin
Kunta,Kunta / muu,Rantautuminen,,Kaarina,Littoistenjärven melontareitti,Ristikallion uimaranta,,,,,308,6710062.2978475,Point (246865.55698892 6710062.2978475),246865.556988919
Kunta,Kunta / muu,Vesillelasku,,Kaarina,Littoistenjärven melontareitti,,Littoistenjärven uimaranta,,,,309,6711365.73018103,Point (245822.88573185 6711365.73018103),245822.885731846
Kunta,Kunta / muu,Luontotorni,Lintutorni,Kaarina,Littoistenjärven luontopolku,,Littoistenjärvi,,,,310,6711556.17156806,Point (246327.06111787 6711556.17156806),246327.061117872
Kunta,Kunta / muu,Luontotorni,Lintulava,Kaarina,,Järvelän kosteikko,,,,,311,6711871.67754861,Point (246031.14019669 6711871.67754861),246031.140196692
Kunta,Kunta / muu,Laavu,,Kaarina,Nunnan luontopolku,,,,,,312,6710196.03582448,Point (248892.98368458 6710196.03582448),248892.983684581
Kunta,Kunta / muu,Aktiviteetti,Nunnan frisbeegolfrata,Kaarina,,,,,,,313,6709951.78215522,Point (248978.59837277 6709951.78215522),248978.598372771
Kunta,Kunta / muu,Kuivakaymala,,Kaarina,,,,,,,314,6710194.07731855,Point (248902.21664115 6710194.07731855),248902.216641149
Kunta,Kunta / muu,Tulipaikka,grillikatos,Kaarina,,,,,,,315,6709957.37788648,Point (248968.52605652 6709957.37788648),248968.526056519
Kunta,Kunta / muu,Polttopuuvarasto,,Kaarina,Piikkiön linnavuoren reitistö,,,,,,316,6707052.49389904,Point (254630.56672628 6707052.49389904),254630.566726279
Kunta,Kunta / muu,Kierratys,,Kaarina,,,,,,,317,6707050.25560653,Point (254598.67105813 6707050.25560653),254598.671058132
Kunta,Kunta / muu,Laavu,,Kaarina,,,,,,,318,6706832.30187417,Point (255398.86062751 6706832.30187417),255398.860627512
Kunta,Kunta / muu,Kuivakaymala,,Kaarina,,,,,,,319,6706851.60714701,Point (255401.37870658 6706851.60714701),255401.378706576
Kunta,Kunta / muu,Nahtavyys,muinaisjäännösalue,Kaarina,,,Kolamäki,,,,320,6707163.56916444,Point (252713.18941196 6707163.56916444),252713.189411957
Kunta,Kunta / muu,Nahtavyys,muinaisjäännösalue,Kaarina,,Huttalanmäen rautakautinen kalmisto,,,,,321,6707428.94671918,Point (254237.32671238 6707428.94671918),254237.326712381
Kunta,Kunta / muu,Luonnonnahtavyys,Huttalanmäen kallioketo,Kaarina,,Perinnemaisema kohde,,,,,322,6707444.61476669,Point (254129.04931261 6707444.61476669),254129.049312611
Kunta,Kunta / muu,Luonnonnahtavyys,Hadvalan niityt,Kaarina,,Perinnemaisemakohde,,,,,323,6707119.08310096,Point (252701.99794945 6707119.08310096),252701.997949449
Kunta,Kunta / muu,Opastaulu,Luontopolun opastaulu,Kaarina,,Rauhalinnan luontopolku,,,,,324,6704779.93607922,Point (246226.45420998 6704779.93607922),246226.45420998
Kunta,Kunta / muu,Uimaranta,Oleskelulaituri,Kaarina,,Rauhalinnan luontopolku,,,,,325,6704891.65980105,Point (246593.39424371 6704891.65980105),246593.394243708
Kunta,Kunta / muu,Opastaulu,Luontopolun opastaulu,Kaarina,,Rauhalinnan luontopolku,,,,,326,6705171.06516324,Point (246573.16975255 6705171.06516324),246573.169752555
Kunta,Kunta / muu,Opastaulu,Luontopolun opastaulu,Kaarina,,Rauhalinnan luontopolku,,,,,327,6705267.47206405,Point (246242.0679363 6705267.47206405),246242.067936302
Muu,Muu,Nahtavyys,Huom! yksityisomistuksessa,Kaarina,,Rauhalinnan kartano,,,,,328,6705013.07660802,Point (246429.50251231 6705013.07660802),246429.50251231
Kunta,Kunta / muu,Luonnonnahtavyys,Rauhalinnan lehto,Kaarina,,Rauhalinnan lehtometsä,,,,,329,6704992.01379601,Point (246240.32143447 6704992.01379601),246240.321434473
Kunta,Kunta / muu,Esteeton,,Kaarina,Tuorlan esteetön luontopolku,,,,https://tammireitit.fi/tuorlanesteeton,,330,6706321.0318258,Point (249204.34461408 6706321.0318258),249204.34461408
Muu,Muu,Tulipaikka,Ylläpitäjä Ammattiopisto Livia,Kaarina,,,,,,,331,6706290.29339366,Point (249236.75968798 6706290.29339366),249236.759687979
Kunta,Kunta / muu,Esteeton,Helppokulkuinen osuus,Kaarina,Rauhalinnan luontopolku,,,,https://tammireitit.fi/rauhalinnanluontopolku,,332,6704910.13779038,Point (246383.67430439 6704910.13779038),246383.674304387
Valtio,Muu,Esteeton,"Ylläpitäjä Metsähallitus, https://www.luontoon.fi/kuusisto",Kaarina,,Kuusiston linnanrauniot,,,https://tammireitit.fi/kuusistonesteeton,,333,6705382.11244394,Point (250802.88280573 6705382.11244394),250802.88280573
Muu,Yksityinen / yhdistys,Nakoala,Maalun näköalatorni,Sauvo,,,,,,,334,6688060.01584715,Point (256984.09100964 6688060.01584715),256984.091009637
,,Kahvila,Ilmaristen Grilli,Lieto,Kuuden kunnanosan kierros,,Ilmarinen,,,,335,6716786.9032942,Point (246521.36962397 6716786.9032942),246521.369623967
Säätiö,,Portaat,,Lieto,Vanhalinnan kulttuuri- ja luontopolut,Vanhalinnan linnavuori,Vanhalinna,,,,336,6714469.74521422,Point (246149.16810968 6714469.74521422),246149.168109676
,,Rantautuminen,,Lieto,Aurajoen melontareitti,,Nautelankoski,,,,337,6722400.96662982,Point (250968.57836753 6722400.96662982),250968.578367528
,,Rantautuminen,,Lieto,Aurajoen melontareitti,,Nautelankoski,,,,338,6721879.88379331,Point (251123.35196784 6721879.88379331),251123.351967843
,,Ohituspolku,Lakokosken ohitus (ei polkua),Lieto,Aurajoen melontareitti,,Lakokoski,,,,339,6721318.33487972,Point (250932.82311779 6721318.33487972),250932.823117794
,,Ohituspolku,Ohituspolun pituus 700 m,Lieto,Aurajoen melontareitti,Nautelankosken ohituspolku,Nautelankoski,,,,340,6722143.20859542,Point (251021.86439738 6722143.20859542),251021.864397384
,,Rantautuminen,,Lieto,Aurajoen melontareitti,,Vierunkoski,,,,341,6715868.36342192,Point (249171.07630775 6715868.36342192),249171.076307752
,,Rantautuminen,,Lieto,Aurajoen melontareitti,,Vierunkoski,,,,342,6715818.38091878,Point (248964.46785001 6715818.38091878),248964.467850012
,,Rantautuminen,,Lieto,Aurajoen melontareitti,,Vääntelänkoski,,,,343,6715448.85698744,Point (248160.179857 6715448.85698744),248160.179857
,,Rantautuminen,,Lieto,Aurajoen melontareitti,,Vääntelänkoski,,,,344,6715328.19753452,Point (248142.38560636 6715328.19753452),248142.385606365
,,Ohituspolku,Ohituspolun pituus 200 m,Lieto,Aurajoen melontareitti,Vierunkosken ohituspolku,Vierunkoski,,,,345,6715850.23091771,Point (249059.10221851 6715850.23091771),249059.102218508
,,Ohituspolku,Ohituspolun pituus 200 m,Lieto,Aurajoen melontareitti,Vääntelänkosken ohituspolku,Vääntelänkoski,,,,346,6715388.0901922,Point (248178.62048555 6715388.0901922),248178.620485555
,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Kuninkaanlähde,Vanha Härkätie,,,,347,6713861.0432085,Point (245698.55233733 6713861.0432085),245698.552337334
