omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,y_eureffin,geometry,x_eureffin
Kunta,Kunta / tekninen toimi,Vesillelasku,,Paimio,Paimionjoen melontareitti,,Jokipuisto,,,,49,6710151.78280445,Point (262289.50185874 6710151.78280445),262289.501858736
Kunta,Kunta / tekninen toimi,Rantautuminen,,Paimio,Paimionjoen melontareitti,,,,,,50,6710151.72668158,Point (262289.98275753 6710151.72668158),262289.982757526
Kunta,,Rantautuminen,,Paimio,,,,,,,51,6707601.58623433,Point (261233.85975268 6707601.58623433),261233.859752685
Valtio,Kunta / tekninen toimi,Rantautuminen,,Paimio,,,,,,,52,6706260.27166146,Point (260780.09180903 6706260.27166146),260780.091809026
Muu,Muu,Rantautuminen,Paimion seurakunnan leirikeskus,Paimio,,,,,,,53,6702388.47091624,Point (257956.29357242 6702388.47091624),257956.293572421
Kunta,,Vesillelasku,,Paimio,,,,,,,54,6707600.43114087,Point (261242.72187361 6707600.43114087),261242.721873612
Kunta,Muu,Rantautuminen,,Paimio,,,,,,,55,6711449.32243474,Point (262660.77932198 6711449.32243474),262660.779321978
Kunta,Muu,Tulipaikka,,Paimio,,,,,,,56,6711449.14463086,Point (262665.38867082 6711449.14463086),262665.388670825
Muu,Yksityinen / yhdistys,Opastaulu,Parantolan polku on pituudeltaan hieman yli 2 km ja viitoitettu selkein opastein. Polkua ylläpitää Parantolan metsät ry.Polu on osa Preitilän reittiä.,Paimio,,Parantolan polun ja Preitilän reitin lähtöpiste,,,,,57,6710597.13340821,Point (265703.59195058 6710597.13340821),265703.591950578
Muu,Yksityinen / yhdistys,Nahtavyys,Parantolan metsän kunniataulu,Paimio,,,,,,,58,6710569.26875145,Point (265773.45661104 6710569.26875145),265773.456611038
Muu,Yksityinen / yhdistys,Nahtavyys,Lemmenlammella näet Alvar Aallon suunnitteleman pumppaamon ja padon. Itse lampi on nykyisin tyhjä padon vuodettua.,Sauvo,,Lemmenlampi,,,,,59,6710369.74501451,Point (265929.33403756 6710369.74501451),265929.334037556
Muu,Yksityinen / yhdistys,Tulipaikka,,Paimio,,Parantolan metsän laavu,,,,,60,6711027.1440823,Point (266118.53641338 6711027.1440823),266118.536413384
Muu,Yksityinen / säätiö,Kahvila,Katso lisätietoja Parantolan ja ravintolan verkkosivuilta,Paimio,,Ravintola Toivo,,,https://paimiosanatorium.com/fi/syo-nuku/ravintola/,,61,6710785.28629848,Point (265576.41162817 6710785.28629848),265576.411628169
Kunta,Kunta / tekninen toimi,Portaat,Myllymäen portaat,Paimio,,,,,,,62,6709663.36001508,Point (266782.92893587 6709663.36001508),266782.928935869
Muu,Yksityinen / yhdistys,Opastaulu,,Paimio,,Paimion luontopolun lähtöpaikka,,,,,63,6708589.79920536,Point (267055.14291343 6708589.79920536),267055.142913432
Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Turvemuseo,,,,,64,6708601.03466769,Point (267045.97028868 6708601.03466769),267045.97028868
Muu,Yksityinen / yhdistys,Luonnonnahtavyys,,Paimio,,Suolampi,,,,,65,6708950.84813314,Point (267327.41123153 6708950.84813314),267327.411231525
Kunta,Kunta / tekninen toimi,Silta,,Paimio,,Järvessuon silta,,,,,66,6709111.72908123,Point (267601.06357273 6709111.72908123),267601.063572731
