source_id,kohde,tyyppi,kunta,lisatieto,palvelut,linkki,lipas_type_name,lipas_type_code,lipas_loi_type,omistaja,yllapitaja,sijainti,x_eureffin,y_eureffin,geometry
62,,Portaat,Paimio,Myllymäen portaat,,,,,stairs,Kunta,Kunta / tekninen toimi,,266782.928935869,6709663.36001508,Point (266782.92893587 6709663.36001508)
63,Paimion luontopolun lähtöpaikka,Opastaulu,Paimio,,,,,,information-board,Muu,Yksityinen / yhdistys,,267055.142913432,6708589.79920536,Point (267055.14291343 6708589.79920536)
64,Turvemuseo,Nahtavyys,Paimio,,,,,,building,Muu,Yksityinen / yhdistys,,267045.97028868,6708601.03466769,Point (267045.97028868 6708601.03466769)
65,Suolampi,Luonnonnahtavyys,Paimio,,,,,,natural-attraction,Muu,Yksityinen / yhdistys,,267327.411231525,6708950.84813314,Point (267327.41123153 6708950.84813314)
66,Järvessuon silta,Silta,Paimio,,,,,,bridge,Kunta,Kunta / tekninen toimi,,267601.063572731,6709111.72908123,Point (267601.06357273 6709111.72908123)
67,Kuhankuonon näkötorni,Luontotorni,Paimio,,,,Luontotorni,204.0,,Muu,Kunta / tekninen toimi,,268392.340632724,6709304.58561272,Point (268392.34063272 6709304.58561272)
68,Paimion luontopolun kota,Tulipaikka,Paimio,,,,,,fire-pit,Muu,Yksityinen / yhdistys,,268389.882377716,6709270.08499853,Point (268389.88237772 6709270.08499853)
69,Muinaisranta,Nahtavyys,Paimio,,,,,,natural-attraction,Muu,Yksityinen / yhdistys,,268474.672771824,6709242.03183281,Point (268474.67277182 6709242.03183281)
70,Korpelan korsu,Nahtavyys,Paimio,,,,,,historical-structure,Muu,Yksityinen / yhdistys,,267614.022338008,6708524.94910441,Point (267614.02233801 6708524.94910441)
71,Yhteenkasvaneet männyt,Luonnonnahtavyys,Paimio,,,,,,natural-attraction,Muu,Yksityinen / yhdistys,,268039.917645525,6708751.60226634,Point (268039.91764553 6708751.60226634)
72,Paimion luontopolun pysäköintialue,Pysakointialue,Paimio,,,,,,parking-spot,Muu,Yksityinen / yhdistys,,267061.684763996,6708589.32424127,Point (267061.684764 6708589.32424127)
73,Näköala Paimion Parantolalle,Nakoala,Paimio,,,,,,viewpoint,Kunta,Kunta / tekninen toimi,,266814.941547776,6709646.92833471,Point (266814.94154778 6709646.92833471)
74,Hiekkahelmi,Tulipaikka,Paimio,Grilli,,,,,fire-pit,Kunta,Kunta / tekninen toimi,,263007.857059118,6705541.32760014,Point (263007.85705912 6705541.32760014)
